Country name,Perceptions of corruption
Singapore,0.10030950163636364
Qatar,0.183798134
Rwanda,0.1875901640909091
Denmark,0.20139034661538463
Finland,0.2615579772727273
New Zealand,0.2674529378333333
Sweden,0.2688108285833333
United Arab Emirates,0.29911703866666667
Switzerland,0.31065358975
Hong Kong S.A.R. of China,0.3360091531111111
