Country name,Perceptions of corruption
Romania,0.9531077395
Bulgaria,0.9459984779000001
Bosnia and Herzegovina,0.9450585082727273
Moldova,0.9369903159999999
Indonesia,0.9368212956923077
Lithuania,0.9356300785384615
Ukraine,0.9352847016923077
Trinidad and Tobago,0.9270447131999999
Portugal,0.9266508005454545
Croatia,0.9244680837272727
